case_id,pattern,question,gold_answer,retrieved_ids,retrieval_recall_at_k,retrieval_precision_at_k,retrieval_mrr,top_attribution_is_gold,gold_attribution_mass,gold_deletion_auc,gold_insertion_auc,retrieval_order_deletion_auc,leave_one_out_deletion_auc,random_deletion_auc,full_gold_support,interaction_total_pairs,interaction_evaluable_pairs,interaction_skipped_pairs,interaction_coverage,interaction_correct_signs,interaction_sign_recovery,interaction_sign_accuracy,closed_book_answer,gold_context_answer,retrieved_context_answer,closed_book_f1,gold_context_f1,retrieved_context_f1,closed_book_exact_match,gold_context_exact_match,retrieved_context_exact_match,knowledge_source_class,generated_interaction_total_pairs,generated_interaction_evaluable_pairs,generated_interaction_skipped_pairs,generated_interaction_coverage,generated_interaction_correct_signs,generated_interaction_sign_recovery,generated_interaction_sign_accuracy,generated_top_attribution_is_gold,generated_gold_attribution_mass,full_generated_support
artemis_first_surface_mission,direct_evidence,Which Artemis mission is described as the first human mission to the Moon's surface in the 21st century?,Artemis III is described as the first human mission to the Moon's surface in the 21st century.,artemis_first_human_surface_mission|artemis_science_objectives|artemis_geology_training,1.0,0.3333333333333333,1.0,False,0.3226306227123081,0.07627951255373076,0.07758942979619064,0.07758942979619064,0.0773172441060551,0.07752798382426569,0.09403660842648975,0,0,0,,0,,,I cannot answer this question because no context was provided.,The Artemis III mission is described as the first human mission to the surface of the Moon in the 21st century.,The Artemis III mission is described as the first human mission to the surface of the Moon in the 21st century.,0.0,0.8717948717948718,0.8717948717948718,0.0,0.0,0.0,retrieval_enabled,0,0,0,,0,,,True,0.6854180650288175,0.14041477894869114
artemis_seven_science_objectives,direct_evidence,What are the seven overarching Artemis III science objectives?,"They are understanding planetary processes, lunar polar volatiles, Earth-Moon impact history, the ancient sun and astronomical environment, observing the universe and local space environment, experimental science in the lunar environment, and exploration risk mitigation.",artemis_science_objectives|artemis_geology_training|artemis_traceability_matrix,1.0,0.3333333333333333,1.0,True,0.9297338044174348,0.0160586281179963,0.13157801603118788,0.012831654124165684,0.0160586281179963,0.07328689431133656,0.1559436006525836,0,0,0,,0,,,I do not have the retrieved context to answer your question.,"The seven overarching Artemis III science objectives are:

1. Understanding planetary processes
2. Understanding the character and origin of lunar polar volatiles
3. Interpreting the impact history of the Earth-Moon system
4. Revealing the record of the ancient sun and astronomical environment
5. Observing the universe and local space environment from a unique location
6. Conducting experimental science in the lunar environment
7. Investigating and mitigating exploration risks","The seven overarching Artemis III science objectives are:
1. Understanding planetary processes
2. Understanding the character and origin of lunar polar volatiles
3. Interpreting the impact history of the Earth-Moon system
4. Revealing the record of the ancient sun and astronomical environment
5. Observing the universe and local space environment from a unique location
6. Conducting experimental science in the lunar environment
7. Investigating and mitigating exploration risks",0.043478260869565216,0.6153846153846154,0.6153846153846154,0.0,0.0,0.0,generation_or_model_failure,0,0,0,,0,,,True,0.9583482367532618,0.17553184173972503
artemis_south_pole_selection_benefits,direct_evidence,Which two operational benefits led to selecting the Moon's south polar region for Artemis III?,The south polar region offers access to persistently illuminated areas and potential access to surface-accessible volatile deposits.,artemis_south_pole_benefits|artemis_science_objectives|artemis_south_pole_definition,1.0,0.3333333333333333,1.0,True,0.9285442501528266,0.056528137842087565,0.2036674774640664,0.056528137842087565,0.056528137842087565,0.129088775663893,0.24270366742448857,0,0,0,,0,,,I cannot answer this question because no context was provided.,The two operational benefits that led to selecting the Moon's south polar region for Artemis III are access to persistently illuminated areas and potential access to surface-accessible volatile deposits.,The two operational benefits that led to selecting the Moon's south polar region are access to persistently illuminated areas and potential access to surface-accessible volatile deposits.,0.0,0.6938775510204082,0.7391304347826088,0.0,0.0,0.0,retrieval_enabled,0,0,0,,0,,,True,0.8474793047741471,0.2332517261382029
artemis_surface_stay_duration,direct_evidence,How long are Artemis III astronauts expected to spend on the lunar surface?,Artemis III astronauts are expected to spend up to 6.5 days on the lunar surface.,artemis_surface_duration|artemis_science_objectives|artemis_geology_training,1.0,0.3333333333333333,1.0,True,0.9369614809705502,0.032017721461400285,0.1161504836484748,0.03366715938604481,0.03366715938604481,0.07624943116562623,0.13897583409810776,0,0,0,,0,,,I cannot answer this question because no context was provided.,"Artemis III astronauts are expected to spend up to 6.5 days on the lunar surface, residing inside the HLS crew cabin before returning to lunar orbit.","Artemis III astronauts are expected to spend up to 6.5 days on the lunar surface, remaining inside the HLS crew cabin before returning to lunar orbit.",0.0,0.7441860465116279,0.7441860465116279,0.0,0.0,0.0,retrieval_enabled,0,0,0,,0,,,True,0.9871345442517865,0.17586184637200397
artemis_eva_requirement_goal,direct_evidence,What is NASA's minimum EVA requirement and EVA goal for Artemis III?,"The minimum is one planned EVA and one contingency EVA, while the goal is at least four moonwalks with reserves for a fifth contingency EVA.",artemis_eva_requirements|artemis_science_objectives|artemis_predeployment_assets,1.0,0.3333333333333333,1.0,True,0.943303690137667,0.048946767718645944,0.17528547699838878,0.048946767718645944,0.048946767718645944,0.11190114985581372,0.2071049412794198,0,0,0,,0,,,I do not have the retrieved context to answer your question.,"NASA's minimum requirement for Artemis III is one planned EVA and one contingency EVA. The goal is at least four moonwalks, with reserves for a fifth contingency EVA.","NASA's minimum requirement for Artemis III is one planned EVA and one contingency EVA. The goal is at least four moonwalks, with reserves for a fifth contingency EVA.",0.05555555555555555,0.851851851851852,0.851851851851852,0.0,0.0,0.0,retrieval_enabled,0,0,0,,0,,,True,0.9077337579051717,0.24101244755207984
artemis_candidate_sample_mass,direct_evidence,What total lunar sample mass does the candidate Artemis III sample program propose?,The candidate Artemis III sample program proposes 83 kg of lunar samples.,artemis_sample_mass_program|artemis_science_objectives|artemis_predeployment_assets,1.0,0.3333333333333333,1.0,True,0.956918705025644,0.03160367895492374,0.12116708138111891,0.03160367895492374,0.03379454320842079,0.07807741372827402,0.1425202246330417,0,0,0,,0,,,I do not have the retrieved context to answer your question.,The candidate Artemis III sample program proposes a total of 83 kg of lunar samples.,The candidate Artemis III sample program proposes a total of 83 kg of lunar samples.,0.08695652173913043,0.888888888888889,0.888888888888889,0.0,0.0,0.0,retrieval_enabled,0,0,0,,0,,,True,0.8817801634747374,0.16819171794252463
artemis_astronaut_geology_training,direct_evidence,What training and mission support does the report recommend for Artemis III astronauts doing sample collection?,"It recommends Apollo-style geology and planetary science training, plus real-time support from an Earth-based Artemis III Science Mission Center.",artemis_geology_training|artemis_science_objectives|artemis_first_human_surface_mission,1.0,0.3333333333333333,1.0,True,0.9779386940266591,0.036800769820786894,0.16286627992262165,0.036800769820786894,0.036800769820786894,0.10021820480244771,0.1885015965197091,0,0,0,,0,,,I do not have the retrieved context to answer your question.,"The report recommends that Artemis III astronauts participate in an Apollo-style geology and planetary science course, and that an Earth-based Artemis III Science Mission Center provide real-time support.","The report recommends that Artemis III astronauts participate in an Apollo-style geology and planetary science course, and that an Earth-based Artemis III Science Mission Center provide real-time support.",0.0,0.679245283018868,0.679245283018868,0.0,0.0,0.0,retrieval_enabled,0,0,0,,0,,,True,0.8844328762899157,0.22351408028025788
artemis_in_situ_instrumentation_uses,direct_evidence,Which Artemis III science activities would benefit from in situ instrumentation?,"In situ instrumentation would benefit sampling, volatile monitoring, geophysics objectives, down-hole monitoring, and geotechnical characterization.",artemis_science_objectives|artemis_in_situ_instrument_classes|artemis_predeployment_assets,1.0,0.3333333333333333,0.5,True,0.8897323900387879,0.029534880503200373,0.19650545599879785,0.029534880503200373,0.009479144004271503,0.10950950888273675,0.23411860489561198,0,0,0,,0,,,I cannot answer this question because no context was provided.,"In situ instrumentation is described as beneficial for sampling, volatile monitoring, geophysics objectives, down-hole monitoring, and geotechnical characterization.","In situ instrumentation is beneficial for objectives such as sampling, volatile monitoring, geophysics objectives, down-hole monitoring, and geotechnical characterization.",0.0,0.7999999999999999,0.7777777777777777,0.0,0.0,0.0,retrieval_enabled,0,0,0,,0,,,True,0.919591596626204,0.2405820909461608
artemis_long_lived_power_communications,direct_evidence,What capability would maximally enable several prioritized deployed Artemis III investigations?,A long-lived power source and communications capability would maximally enable several prioritized deployed investigations.,artemis_power_communications|artemis_prioritization_method|artemis_science_objectives,1.0,0.3333333333333333,1.0,True,0.627965344094234,0.05730010931341154,0.08765649184550896,0.05730010931341154,0.06223956050347085,0.07227136131534916,0.09564066091954515,0,0,0,,0,,,I cannot answer this question because no context was provided.,Several prioritized Artemis III investigations would be maximally enabled by a long-lived power source and communications capability for deployed experiments.,A long-lived power source and communications capability would maximally enable several prioritized Artemis III investigations for deployed experiments.,0.0,0.7777777777777778,0.8823529411764706,0.0,0.0,0.0,retrieval_enabled,0,0,0,,0,,,True,0.8712279168883232,0.2524437237249223
artemis_geodetic_control_importance,direct_evidence,Why is accurate geodetic control important for Artemis III data products?,"Accurate geodetic control improves spatial data analysis and intercomparison, which is vital for mission planning and scientific analysis.",artemis_geodetic_control|artemis_science_objectives|artemis_predeployment_assets,1.0,0.3333333333333333,1.0,True,0.8289107046209273,0.05901128674854963,0.14406112956992428,0.05901128674854963,0.062186059800057925,0.10196937791337136,0.16976519185432493,0,0,0,,0,,,I cannot answer this question because no context was provided.,"Accurate geodetic control is vital for Artemis III data products because it directly affects the accuracy of spatial data analysis and intercomparison, which is necessary for both mission planning and scientific analysis.","Accurate geodetic control is important for Artemis III data products because it directly influences the accuracy of spatial data analysis and intercomparison, which is essential for both scientific analysis and mission planning.",0.0,0.6799999999999999,0.64,0.0,0.0,0.0,retrieval_failure,0,0,0,,0,,,True,0.9450187977550837,0.17320913969968044
