case_id,category,expected_tool,actual_selected_tool,selection_correct,most_supportive_span,supportive_value,most_opposing_span,opposing_value,strongest_positive_pair,positive_interaction_value,strongest_negative_pair,negative_interaction_value,number_of_players,runtime_seconds,status,error_message
w01,weather,weather_tool,weather_tool,True,in Oslo,1.4374674240748087,,,the temperature + be,0.2710912823677063,the temperature + on Friday evening?,-0.6969849069913232,5,33.36805058299797,completed,
w03,weather,weather_tool,weather_tool,True,hourly wind forecast,2.22303036848704,,,the + for Wellington,0.48834977547327685,hourly wind forecast + for Wellington,-2.9510774811108913,5,33.30447841598652,completed,
w04,weather,weather_tool,weather_tool,True,tonight?,1.9675861795743308,,,Do + an umbrella,0.9654377102851865,an umbrella + in Nairobi,-1.094797790050507,5,33.368165375024546,completed,
w07,weather,weather_tool,weather_tool,True,for Denver,1.8617317733310523,cloud types;,-0.41103564387276015,me whether + storms are forecast,0.7680692266850242,storms are forecast + for Denver,-1.140012707312903,9,456.3437995829736,completed,
w10,weather,weather_tool,weather_tool,True,the live wind chill reading,4.0251865307490045,"a concept,",-0.29827251036961866,but what is + the live wind chill reading,1.1601723750432331,but what is + in Chicago?,-0.8704589446385701,7,117.5564892499824,completed,
c01,calculator,calculator_tool,calculator_tool,True,What is 764 divided,3.0369527339935303,,,What is 764 divided + by 16?,1.4144234657287598,,,2,8.751772582996637,completed,
c05,calculator,calculator_tool,no_tool,False,13.2 cm,1.7174768241743248,,,13.2 cm + by 8.5 cm; compute,1.8418812869737544,A rectangle + 13.2 cm,-0.3974756641934314,5,37.8888332080096,completed,
c06,calculator,calculator_tool,calculator_tool,True,- 36) / 9 + 7.,3.6146419048309326,,,,,Evaluate (144 + - 36) / 9 + 7.,-3.634995937347412,2,9.57066337496508,completed,
c07,calculator,calculator_tool,no_tool,False,by 4% twice.,2.130921126653751,,,of 500 increased + by 4% twice.,0.8969234091540178,the value + by 4% twice.,-0.24398488675554608,5,41.750463833042886,completed,
c08,calculator,calculator_tool,no_tool,False,"of an average briefly, then compute",1.2238918083409467,,,"Explain the idea + of an average briefly, then compute",1.5018069787571826,"the mean + of 12, 17, 23, and 28.",-0.25198148687680577,4,30.236623790988233,completed,
s03,web_search,web_search_tool,web_search_tool,True,What major news was announced by,2.179712975397706,,,the European Central Bank + today?,1.2936647599563003,,,3,12.479282708023675,completed,
s04,web_search,web_search_tool,web_search_tool,True,Look up the present opening hours,3.642176283727167,,,Look up the present opening hours + of the Louvre.,1.338194158335682,,,2,8.837306958972476,completed,
s07,web_search,web_search_tool,no_tool,False,electric cars; explain,1.8610687690476573,,,electric cars; explain + the context briefly and find,0.839850598325332,electric cars; explain + Tesla's latest reported delivery figures.,-0.2957384052375951,4,32.56508124998072,completed,
s08,web_search,web_search_tool,no_tool,False,"an interest rate is, then check",1.8560042728980382,,,"Describe what + an interest rate is, then check",0.09750017896294594,"an interest rate is, then check + the Federal Reserve's current target range.",-0.0407782606780529,3,26.59559325000737,completed,
s09,web_search,web_search_tool,no_tool,False,the newest Ubuntu release still supports,1.9123505285630622,"Without doing any arithmetic, tell",-0.13372859172523022,"Without doing any arithmetic, tell + me whether",0.607427788277467,"Without doing any arithmetic, tell + the same default desktop environment.",-0.28830019260446194,4,21.450637458008714,completed,
n01,no_tool,no_tool,no_tool,True,leaves change,1.2365843777855237,,,color + in autumn?,0.28796976804733254,Why do + leaves change,-0.6850081607699394,4,29.6529776660027,completed,
n03,no_tool,no_tool,no_tool,True,How does binary search work?,1.8604425825178623,,,,,,,1,36.3172921249643,completed,
n04,no_tool,no_tool,no_tool,True,for writing clearer paragraphs.,2.57088396884501,,,Give three practical tips + for writing clearer paragraphs.,1.4439193792641163,,,2,19.20057899999665,completed,
n08,no_tool,no_tool,no_tool,True,Using rain,1.9899533862868948,,,Using rain + between correlation and causation; do not check,1.7504350692033768,Using rain + any forecast.,-0.5066354374090833,5,58.1896386249573,completed,
n10,no_tool,no_tool,no_tool,True,how search engines rank web pages;,2.4450533607353764,live search results.,-0.10805136524140835,"In simple language, explain + how search engines rank web pages;",0.8429818923274673,"In simple language, explain + I don't need",-0.042851318915684944,4,50.30296737496974,completed,
