case_id,pattern,question,gold_answer,retrieved_ids,retrieval_recall_at_k,retrieval_precision_at_k,retrieval_mrr,top_attribution_is_gold,gold_attribution_mass,gold_deletion_auc,gold_insertion_auc,retrieval_order_deletion_auc,leave_one_out_deletion_auc,random_deletion_auc,full_gold_support,interaction_total_pairs,interaction_evaluable_pairs,interaction_skipped_pairs,interaction_coverage,interaction_correct_signs,interaction_sign_recovery,interaction_sign_accuracy,interaction_complementary_total_pairs,interaction_complementary_evaluable_pairs,interaction_complementary_skipped_pairs,interaction_complementary_coverage,interaction_complementary_correct_signs,interaction_complementary_sign_recovery,interaction_complementary_sign_accuracy,interaction_conflicting_total_pairs,interaction_conflicting_evaluable_pairs,interaction_conflicting_skipped_pairs,interaction_conflicting_coverage,interaction_conflicting_correct_signs,interaction_conflicting_sign_recovery,interaction_conflicting_sign_accuracy,interaction_redundant_total_pairs,interaction_redundant_evaluable_pairs,interaction_redundant_skipped_pairs,interaction_redundant_coverage,interaction_redundant_correct_signs,interaction_redundant_sign_recovery,interaction_redundant_sign_accuracy
direct_olympics_host,direct_evidence,Which city hosted the 2008 Summer Olympics?,Beijing hosted the 2008 Summer Olympics.,direct_olympics_evidence|direct_olympics_london|direct_tokyo_osaka|missing_japan_tokyo|redundant_france_lyon|direct_canada_montreal,1.0,0.16666666666666666,1.0,True,0.5950334488341609,0.1866849473088631,0.858,0.1866849473088631,0.1866849473088631,0.6246055034184426,0.86,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,
direct_canada_capital,direct_evidence,What is the capital city of Canada?,Ottawa is the capital city of Canada.,direct_canada_evidence|direct_canada_toronto|direct_canada_provinces|direct_tokyo_evidence|redundant_france_a|conflict_japan_tokyo_distractor,1.0,0.16666666666666666,1.0,True,0.5541127176815379,0.4396082580088538,0.8699999999999998,0.4396082580088538,0.4396082580088538,0.6930317832128119,0.86,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,
direct_pride_author,direct_evidence,Who wrote Pride and Prejudice?,Jane Austen wrote Pride and Prejudice.,direct_austen_evidence|direct_austen_plot|direct_austen_bronte|redundant_hamlet_a|redundant_orwell_a|redundant_orwell_huxley_distractor,1.0,0.16666666666666666,1.0,True,0.6522914552195761,0.2845231007464253,0.8699999999999998,0.2845231007464253,0.2845231007464253,0.6225606056071932,0.86,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,
direct_dna_shape,direct_evidence,What is the molecular shape of DNA?,DNA has a double-helix structure.,direct_dna_evidence|direct_dna_bases|comp_protein_dna|comp_tri_state_solid|comp_protein_rna|comp_tri_state_liquid,1.0,0.16666666666666666,1.0,True,0.9498188943787457,0.1367672947760801,0.8066666666666666,0.1367672947760801,0.16013417081255127,0.4748504536345764,0.82,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,
complementary_curie_categories,complementary_evidence,Which two Nobel Prize categories did Marie Curie win?,Marie Curie won Nobel Prizes in Physics and Chemistry.,comp_curie_physics|comp_curie_chemistry|comp_curie_family|comp_curie_peace|missing_mars_planet|missing_penicillin_mould,1.0,0.3333333333333333,1.0,True,0.817576733802391,0.18733365990901155,0.49629011056798394,0.1561266683552799,0.1561266683552799,0.3708209515589267,0.47874007786473427,1,1,0,1.0,0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,
complementary_photosynthesis_inputs,complementary_evidence,Which two material inputs do plants use in photosynthesis?,Plants use carbon dioxide and water in photosynthesis.,comp_photosynthesis_carbon|direct_mitochondria_chloroplast|comp_photosynthesis_output|comp_photosynthesis_water|direct_mitochondria_nucleus|comp_photosynthesis_light,1.0,0.3333333333333333,1.0,True,0.8422486996339527,0.17636923889774792,0.5898885637652914,0.16191090574309877,0.17782456244966025,0.3744418968572951,0.5994278613214818,1,1,0,1.0,1,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,
complementary_water_elements,complementary_evidence,Which two elements make up water?,Water is made of hydrogen and oxygen.,comp_water_states|comp_water_salt|comp_photosynthesis_water|comp_water_hydrogen|conflict_boiling_freezing_distractor|comp_protein_dna,0.5,0.16666666666666666,0.25,True,0.7055293610177605,0.11438534056817468,0.2768170665505845,0.23128089937148952,0.12495632147949814,0.2168620537131081,0.2772170030745703,1,0,1,0.0,0,,,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,
complementary_great_lakes_countries,complementary_evidence,Which two countries share the Great Lakes?,Canada and the United States share the Great Lakes.,comp_lakes_canada|comp_lakes_names|comp_lakes_us|comp_lakes_shipping|missing_japan_islands|missing_suez_panama,1.0,0.3333333333333333,1.0,True,0.8203365397141282,0.1627680486002416,0.5981742780510056,0.190073358719136,0.1627680486002416,0.373150270074419,0.5959992898929105,1,1,0,1.0,0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,
missing_eiffel_designer,missing_evidence,Who designed the Eiffel Tower?,Gustave Eiffel's company designed the Eiffel Tower.,missing_eiffel_architecture|missing_eiffel_paris|redundant_france_a|missing_eiffel_fair|missing_van_gogh_starry_style|conflict_monalisa_correct,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,
missing_mars_moons,missing_evidence,What are the names of Mars's two moons?,Mars's two moons are Phobos and Deimos.,missing_mars_surface|missing_mars_orbit|missing_mars_planet|conflict_solar_planets_distractor|comp_inner_mars|direct_gravity_orbits,,,,,,0.11899045880477437,0.18073175738812952,0.2116024066798071,0.2116024066798071,0.19205099546174453,0.17542515196889236,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,
