case_id,pattern,question,gold_answer,retrieved_ids,retrieval_recall_at_k,retrieval_precision_at_k,retrieval_mrr,top_attribution_is_gold,gold_attribution_mass,gold_deletion_auc,gold_insertion_auc,retrieval_order_deletion_auc,leave_one_out_deletion_auc,random_deletion_auc,full_gold_support,interaction_total_pairs,interaction_evaluable_pairs,interaction_skipped_pairs,interaction_coverage,interaction_correct_signs,interaction_sign_recovery,interaction_sign_accuracy,closed_book_answer,gold_context_answer,retrieved_context_answer,closed_book_f1,gold_context_f1,retrieved_context_f1,closed_book_exact_match,gold_context_exact_match,retrieved_context_exact_match,knowledge_source_class,generated_interaction_total_pairs,generated_interaction_evaluable_pairs,generated_interaction_skipped_pairs,generated_interaction_coverage,generated_interaction_correct_signs,generated_interaction_sign_recovery,generated_interaction_sign_accuracy,generated_top_attribution_is_gold,generated_gold_attribution_mass,full_generated_support,interaction_complementary_total_pairs,interaction_complementary_evaluable_pairs,interaction_complementary_skipped_pairs,interaction_complementary_coverage,interaction_complementary_correct_signs,interaction_complementary_sign_recovery,interaction_complementary_sign_accuracy,generated_interaction_complementary_total_pairs,generated_interaction_complementary_evaluable_pairs,generated_interaction_complementary_skipped_pairs,generated_interaction_complementary_coverage,generated_interaction_complementary_correct_signs,generated_interaction_complementary_sign_recovery,generated_interaction_complementary_sign_accuracy,interaction_conflicting_total_pairs,interaction_conflicting_evaluable_pairs,interaction_conflicting_skipped_pairs,interaction_conflicting_coverage,interaction_conflicting_correct_signs,interaction_conflicting_sign_recovery,interaction_conflicting_sign_accuracy,generated_interaction_conflicting_total_pairs,generated_interaction_conflicting_evaluable_pairs,generated_interaction_conflicting_skipped_pairs,generated_interaction_conflicting_coverage,generated_interaction_conflicting_correct_signs,generated_interaction_conflicting_sign_recovery,generated_interaction_conflicting_sign_accuracy,interaction_redundant_total_pairs,interaction_redundant_evaluable_pairs,interaction_redundant_skipped_pairs,interaction_redundant_coverage,interaction_redundant_correct_signs,interaction_redundant_sign_recovery,interaction_redundant_sign_accuracy,generated_interaction_redundant_total_pairs,generated_interaction_redundant_evaluable_pairs,generated_interaction_redundant_skipped_pairs,generated_interaction_redundant_coverage,generated_interaction_redundant_correct_signs,generated_interaction_redundant_sign_recovery,generated_interaction_redundant_sign_accuracy
direct_olympics_host,direct_evidence,Which city hosted the 2008 Summer Olympics?,Beijing hosted the 2008 Summer Olympics.,direct_olympics_evidence|direct_olympics_london|direct_tokyo_osaka|missing_japan_tokyo|redundant_france_lyon|direct_canada_montreal,1.0,0.16666666666666666,1.0,True,0.4113516837402855,0.06167044834544929,0.09935951897978396,0.06144134288812023,0.06647989588518043,0.08511171247038148,0.10147170708097542,0,0,0,,0,,,I do not have the retrieved context to answer your question.,"Beijing, China hosted the 2008 Summer Olympics.","Beijing, China, hosted the 2008 Summer Olympics.",0.11764705882352942,0.923076923076923,0.923076923076923,0.0,0.0,0.0,retrieval_enabled,0,0,0,,0,,,True,0.7406143630810383,0.13238035062965126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
direct_canada_capital,direct_evidence,What is the capital city of Canada?,Ottawa is the capital city of Canada.,direct_canada_evidence|direct_canada_toronto|direct_canada_provinces|direct_tokyo_evidence|redundant_france_a|conflict_japan_tokyo_distractor,1.0,0.16666666666666666,1.0,True,0.7697230099902787,0.04214900950182287,0.15989649997152586,0.04654004944790562,0.05799750852230514,0.10784325295393528,0.17315281278443395,0,0,0,,0,,,I cannot answer this question because no context was provided.,Ottawa is the capital city of Canada and the seat of the federal government.,Ottawa is the capital city of Canada and the seat of the federal government.,0.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,retrieval_enabled,0,0,0,,0,,,True,0.8307224675207463,0.18076027256676835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
direct_pride_author,direct_evidence,Who wrote Pride and Prejudice?,Jane Austen wrote Pride and Prejudice.,direct_austen_evidence|direct_austen_plot|direct_austen_bronte|redundant_hamlet_a|redundant_orwell_a|redundant_orwell_huxley_distractor,1.0,0.16666666666666666,1.0,True,0.4931888545941425,0.036690786951330163,0.08694310096965215,0.0291493286651253,0.0291493286651253,0.07136809919157529,0.09672424854600026,0,0,0,,0,,,I cannot answer this question because no context was provided.,"Jane Austen wrote the novel Pride and Prejudice, which was first published in 1813.","Jane Austen wrote the novel *Pride and Prejudice*, which was first published in 1813.",0.0,0.6,0.6,0.0,0.0,0.0,generation_or_model_failure,0,0,0,,0,,,True,0.9259046843037614,0.13728625740914602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
direct_dna_shape,direct_evidence,What is the molecular shape of DNA?,DNA has a double-helix structure.,direct_dna_evidence|direct_dna_bases|comp_protein_dna|comp_tri_state_solid|comp_protein_rna|comp_tri_state_liquid,1.0,0.16666666666666666,1.0,True,0.916495046879388,0.00155711909298481,0.17977799675279357,0.005553000253036372,-0.006502513323600953,0.0968198118142985,0.2006284993489248,0,0,0,,0,,,I do not have the retrieved context to answer this question.,DNA has a double-helix structure formed by two complementary strands.,DNA has a double-helix structure formed by two complementary strands.,0.0,0.7058823529411764,0.7058823529411764,0.0,0.0,0.0,retrieval_enabled,0,0,0,,0,,,True,0.9315787946961226,0.2394159066834547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complementary_curie_categories,complementary_evidence,Which two Nobel Prize categories did Marie Curie win?,Marie Curie won Nobel Prizes in Physics and Chemistry.,comp_curie_physics|comp_curie_chemistry|comp_curie_family|comp_curie_peace|missing_mars_planet|missing_penicillin_mould,1.0,0.3333333333333333,1.0,True,0.7060543594423666,0.05715145920186432,0.13493664459217225,0.06248029576571693,0.07013490404462051,0.09767675051366483,0.16733213322484541,1,1,0,1.0,1,1.0,1.0,I cannot answer this question because no context was provided.,"Marie Curie won the Nobel Prize in Physics in 1903 for research on radiation phenomena, and she received the Nobel Prize in Chemistry in 1911 for her work on radium and polonium.","Marie Curie won the Nobel Prize in Physics in 1903 for research on radiation phenomena, and she received the Nobel Prize in Chemistry in 1911 for work on radium and polonium.",0.0,0.3902439024390244,0.39999999999999997,0.0,0.0,0.0,generation_or_model_failure,1,1,0,1.0,1,1.0,1.0,True,0.8132925844566432,0.11379409466324447,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complementary_photosynthesis_inputs,complementary_evidence,Which two material inputs do plants use in photosynthesis?,Plants use carbon dioxide and water in photosynthesis.,comp_photosynthesis_carbon|direct_mitochondria_chloroplast|comp_photosynthesis_output|comp_photosynthesis_water|direct_mitochondria_nucleus|comp_photosynthesis_light,1.0,0.3333333333333333,1.0,True,0.8604007865026994,0.009090917858386139,0.10223448454240719,0.025937368791498314,0.008644679051005738,0.054525891704791656,0.1203234941221169,1,1,0,1.0,1,1.0,1.0,I cannot answer this question because no context was provided.,Plants use carbon dioxide and water as material inputs in photosynthesis.,Plants use carbon dioxide from the air and water absorbed from the soil in photosynthesis.,0.0,0.8421052631578948,0.6956521739130436,0.0,0.0,0.0,retrieval_enabled,1,1,0,1.0,1,1.0,1.0,True,0.9276194402126899,0.1152511029280352,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complementary_water_elements,complementary_evidence,Which two elements make up water?,Water is made of hydrogen and oxygen.,comp_water_states|comp_water_salt|comp_photosynthesis_water|comp_water_hydrogen|conflict_boiling_freezing_distractor|comp_protein_dna,0.5,0.16666666666666666,0.25,True,0.6779863325672006,0.003214351230421783,0.06934799305681169,0.05148330983121563,-0.0055468821560456655,0.037367919065493145,0.05349063164811835,1,0,1,0.0,0,,,I cannot answer this question because no context was provided.,"The two elements that make up water are hydrogen and oxygen. Hydrogen is represented by H in the formula H2O, with two hydrogen atoms per molecule, and oxygen is represented by O in the formula H2O, with one oxygen atom per molecule.","The context mentions that the formula for water is H2O, and that the ""H in the formula H2O represents hydrogen,"" which has two hydrogen atoms in each molecule. However, the context does not explicitly state the second element that makes up water.",0.0,0.2040816326530612,0.16326530612244897,0.0,0.0,0.0,generation_or_model_failure,1,0,1,0.0,0,,,True,0.8853669175895698,0.11905781912649721,1.0,0.0,1.0,0.0,0.0,,,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complementary_great_lakes_countries,complementary_evidence,Which two countries share the Great Lakes?,Canada and the United States share the Great Lakes.,comp_lakes_canada|comp_lakes_names|comp_lakes_us|comp_lakes_shipping|missing_japan_islands|missing_suez_panama,1.0,0.3333333333333333,1.0,True,0.823592496385059,0.009119591877087071,0.08602761940224703,0.0007335681706580055,0.0018206271037789583,0.03693527223644661,0.09050520391631167,1,1,0,1.0,1,1.0,1.0,I cannot answer this question because no context was provided.,The two countries that share the Great Lakes are Canada and the United States.,The two countries that share the Great Lakes are Canada and the United States.,0.0,0.782608695652174,0.782608695652174,0.0,0.0,0.0,retrieval_enabled,1,1,0,1.0,1,1.0,1.0,True,0.9053802949609181,0.14587866446453512,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
missing_eiffel_designer,missing_evidence,Who designed the Eiffel Tower?,Gustave Eiffel's company designed the Eiffel Tower.,missing_eiffel_architecture|missing_eiffel_paris|redundant_france_a|missing_eiffel_fair|missing_van_gogh_starry_style|conflict_monalisa_correct,,,,,,-0.023659421531390598,-0.03968773572849406,-0.026515793435895427,-0.03706910849729126,-0.02900960064884803,-0.054494369971885226,0,0,0,,0,,,I cannot answer this question because no context was provided.,I cannot answer this question because no context was provided.,The retrieved context does not state who designed the Eiffel Tower.,0.0,0.0,0.4210526315789474,0.0,0.0,0.0,missing_evidence,0,0,0,,0,,,,,0.07318149967974669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
missing_mars_moons,missing_evidence,What are the names of Mars's two moons?,Mars's two moons are Phobos and Deimos.,missing_mars_surface|missing_mars_orbit|missing_mars_planet|conflict_solar_planets_distractor|comp_inner_mars|direct_gravity_orbits,,,,,,0.025697253015700538,0.030633589877575102,0.021863869203705134,0.021879849453938078,0.028217236860190304,-0.022707479142765608,0,0,0,,0,,,I cannot answer this question because no context was provided.,I cannot answer this question because no context was provided.,The context is insufficient to answer the question.,0.0,0.0,0.0,0.0,0.0,0.0,missing_evidence,0,0,0,,0,,,,,-0.011743902052534394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
