case_id,pattern,question,gold_answer,retrieved_ids,retrieval_recall_at_k,retrieval_precision_at_k,retrieval_mrr,top_attribution_is_gold,gold_attribution_mass,gold_deletion_auc,gold_insertion_auc,retrieval_order_deletion_auc,leave_one_out_deletion_auc,random_deletion_auc,full_gold_support,interaction_total_pairs,interaction_evaluable_pairs,interaction_skipped_pairs,interaction_coverage,interaction_correct_signs,interaction_sign_recovery,interaction_sign_accuracy,closed_book_answer,gold_context_answer,retrieved_context_answer,closed_book_f1,gold_context_f1,retrieved_context_f1,closed_book_exact_match,gold_context_exact_match,retrieved_context_exact_match,knowledge_source_class,generated_interaction_total_pairs,generated_interaction_evaluable_pairs,generated_interaction_skipped_pairs,generated_interaction_coverage,generated_interaction_correct_signs,generated_interaction_sign_recovery,generated_interaction_sign_accuracy,generated_top_attribution_is_gold,generated_gold_attribution_mass,full_generated_support,interaction_complementary_total_pairs,interaction_complementary_evaluable_pairs,interaction_complementary_skipped_pairs,interaction_complementary_coverage,interaction_complementary_correct_signs,interaction_complementary_sign_recovery,interaction_complementary_sign_accuracy,generated_interaction_complementary_total_pairs,generated_interaction_complementary_evaluable_pairs,generated_interaction_complementary_skipped_pairs,generated_interaction_complementary_coverage,generated_interaction_complementary_correct_signs,generated_interaction_complementary_sign_recovery,generated_interaction_complementary_sign_accuracy,interaction_conflicting_total_pairs,interaction_conflicting_evaluable_pairs,interaction_conflicting_skipped_pairs,interaction_conflicting_coverage,interaction_conflicting_correct_signs,interaction_conflicting_sign_recovery,interaction_conflicting_sign_accuracy,generated_interaction_conflicting_total_pairs,generated_interaction_conflicting_evaluable_pairs,generated_interaction_conflicting_skipped_pairs,generated_interaction_conflicting_coverage,generated_interaction_conflicting_correct_signs,generated_interaction_conflicting_sign_recovery,generated_interaction_conflicting_sign_accuracy,interaction_redundant_total_pairs,interaction_redundant_evaluable_pairs,interaction_redundant_skipped_pairs,interaction_redundant_coverage,interaction_redundant_correct_signs,interaction_redundant_sign_recovery,interaction_redundant_sign_accuracy,generated_interaction_redundant_total_pairs,generated_interaction_redundant_evaluable_pairs,generated_interaction_redundant_skipped_pairs,generated_interaction_redundant_coverage,generated_interaction_redundant_correct_signs,generated_interaction_redundant_sign_recovery,generated_interaction_redundant_sign_accuracy
direct_olympics_host,direct_evidence,Which city hosted the 2008 Summer Olympics?,Beijing hosted the 2008 Summer Olympics.,direct_olympics_evidence|direct_olympics_london|direct_tokyo_osaka|redundant_france_lyon|direct_canada_montreal|missing_penicillin_resistance,1.0,0.16666666666666666,1.0,True,0.4423188024682339,0.05501102685572384,0.10065307641292838,0.05786171133922679,0.06525008157706795,0.08414208250341025,0.10355092205453531,0,0,0,,0,,,I do not have the retrieved context to answer your question.,"Beijing, China hosted the 2008 Summer Olympics.","Beijing, China, hosted the 2008 Summer Olympics.",0.11764705882352942,0.923076923076923,0.923076923076923,0.0,0.0,0.0,retrieval_enabled,0,0,0,,0,,,True,0.7536937511741016,0.13229185453381598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
direct_canada_capital,direct_evidence,What is the capital city of Canada?,Ottawa is the capital city of Canada.,direct_canada_evidence|direct_tokyo_evidence|redundant_france_a|conflict_japan_tokyo_distractor|direct_canada_toronto|direct_canada_provinces,1.0,0.16666666666666666,1.0,True,0.7625960265327716,0.050430610741254156,0.16357893476017327,0.07812721513354197,0.06968229841439523,0.10859120590253996,0.1695496942799395,0,0,0,,0,,,I cannot answer this question because no context was provided.,Ottawa is the capital city of Canada and the seat of the federal government.,Ottawa is the capital city of Canada and the seat of the federal government.,0.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,retrieval_enabled,0,0,0,,0,,,True,0.8097509056710502,0.1812042638560991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
direct_pride_author,direct_evidence,Who wrote Pride and Prejudice?,Jane Austen wrote Pride and Prejudice.,direct_austen_evidence|direct_austen_plot|redundant_hamlet_a|redundant_orwell_a|redundant_orwell_huxley_distractor|direct_austen_bronte,1.0,0.16666666666666666,1.0,True,0.4502140764402526,0.03948129705431717,0.09266706570232709,0.07521419609263869,0.06584768922007665,0.08469980362593393,0.10615340713495547,0,0,0,,0,,,I cannot answer this question because no context was provided.,"Jane Austen wrote the novel Pride and Prejudice, which was first published in 1813.","Jane Austen wrote the novel *Pride and Prejudice*, which was first published in 1813.",0.0,0.6,0.6,0.0,0.0,0.0,generation_or_model_failure,0,0,0,,0,,,True,0.9023135414881754,0.13733961020873564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
direct_dna_shape,direct_evidence,What is the molecular shape of DNA?,DNA has a double-helix structure.,comp_tri_state_solid|comp_tri_state_liquid|comp_protein_dna|direct_dna_bases|direct_dna_evidence|comp_protein_rna,1.0,0.16666666666666666,0.2,True,0.8786371809987604,0.008911791854471282,0.17784085239481132,0.16743854763153052,0.013567022194172237,0.08820724275413601,0.19279996617352435,0,0,0,,0,,,I do not have the retrieved context to answer this question.,DNA has a double-helix structure formed by two complementary strands.,DNA has a double-helix structure formed by two complementary strands.,0.0,0.7058823529411764,0.7058823529411764,0.0,0.0,0.0,retrieval_enabled,0,0,0,,0,,,True,0.9099062451228276,0.2411845350487437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complementary_curie_categories,complementary_evidence,Which two Nobel Prize categories did Marie Curie win?,Marie Curie won Nobel Prizes in Physics and Chemistry.,comp_curie_physics|comp_curie_chemistry|comp_curie_family|comp_curie_peace|missing_suez_shipping|missing_penicillin_mould,1.0,0.3333333333333333,1.0,True,0.6796651219442871,0.060058637481495564,0.13852682286983495,0.06698021672762851,0.07940607875021895,0.1043648783431191,0.16956709686722615,1,1,0,1.0,1,1.0,1.0,I cannot answer this question because no context was provided.,"Marie Curie won the Nobel Prize in Physics in 1903 for research on radiation phenomena, and she received the Nobel Prize in Chemistry in 1911 for her work on radium and polonium.","Marie Curie won the Nobel Prize in Physics in 1903 for research on radiation phenomena, and she received the Nobel Prize in Chemistry in 1911 for work on radium and polonium.",0.0,0.3902439024390244,0.39999999999999997,0.0,0.0,0.0,generation_or_model_failure,1,1,0,1.0,1,1.0,1.0,True,0.796304639919999,0.11420191137829316,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complementary_photosynthesis_inputs,complementary_evidence,Which two material inputs do plants use in photosynthesis?,Plants use carbon dioxide and water in photosynthesis.,direct_mitochondria_chloroplast|comp_photosynthesis_carbon|direct_mitochondria_nucleus|comp_photosynthesis_output|comp_photosynthesis_water|missing_suez_shipping,1.0,0.3333333333333333,0.5,True,0.8461381954203286,0.004209015401201148,0.10663291474187264,0.04745334453361441,0.025339178913494298,0.06289197181353119,0.12471605215568726,1,1,0,1.0,1,1.0,1.0,I cannot answer this question because no context was provided.,Plants use carbon dioxide and water as material inputs in photosynthesis.,Plants use carbon dioxide from the air and water absorbed from the soil in photosynthesis.,0.0,0.8421052631578948,0.6956521739130436,0.0,0.0,0.0,retrieval_enabled,1,1,0,1.0,1,1.0,1.0,True,0.9206578992666381,0.1136003170963722,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complementary_water_elements,complementary_evidence,Which two elements make up water?,Water is made of hydrogen and oxygen.,comp_water_states|comp_protein_dna|comp_photosynthesis_water|conflict_boiling_freezing_distractor|comp_water_salt|conflict_boiling_50c,0.0,0.0,0.0,False,0.0,-0.000168841621195052,-0.01705710077881135,0.011617214458465327,-0.002577978484271289,-0.00485032704402568,-0.013307303979025686,1,0,1,0.0,0,,,I cannot answer this question because no context was provided.,"The two elements that make up water are hydrogen and oxygen. Hydrogen is represented by H in the formula H2O, with two hydrogen atoms per molecule, and oxygen is represented by O in the formula H2O, with one oxygen atom per molecule.",The provided context does not state which two elements make up water.,0.0,0.2040816326530612,0.10526315789473685,0.0,0.0,0.0,generation_or_model_failure,1,0,1,0.0,0,,,False,0.0,0.07130326408056564,1.0,0.0,1.0,0.0,0.0,,,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complementary_great_lakes_countries,complementary_evidence,Which two countries share the Great Lakes?,Canada and the United States share the Great Lakes.,comp_lakes_canada|comp_lakes_us|comp_lakes_names|comp_lakes_shipping|missing_mars_planet|missing_japan_islands,1.0,0.3333333333333333,1.0,True,0.8649835858841093,0.02098228039911133,0.0861720293786465,0.016219776306856632,0.021092882654833233,0.05247662333192806,0.08255360863054428,1,1,0,1.0,0,0.0,0.0,I cannot answer this question because no context was provided.,The two countries that share the Great Lakes are Canada and the United States.,Canada and the United States share parts of the Great Lakes shoreline.,0.0,0.782608695652174,0.8571428571428571,0.0,0.0,0.0,retrieval_enabled,1,1,0,1.0,0,0.0,0.0,True,0.9512737134525012,0.21402058807914848,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
missing_eiffel_designer,missing_evidence,Who designed the Eiffel Tower?,Gustave Eiffel's company designed the Eiffel Tower.,missing_suez_mediterranean|missing_penicillin_mould|missing_mars_planet|missing_japan_economy|conflict_japan_won|redundant_sahara_antarctica_distractor,,,,,,-0.03450065333016581,-0.040634342601990635,-0.03075800460731774,-0.036041877828402506,-0.03450162763539936,-0.04972915635614328,0,0,0,,0,,,I cannot answer this question because no context was provided.,I cannot answer this question because no context was provided.,The retrieved context does not contain information about who designed the Eiffel Tower.,0.0,0.0,0.380952380952381,0.0,0.0,0.0,missing_evidence,0,0,0,,0,,,,,0.02557988574065151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
missing_mars_moons,missing_evidence,What are the names of Mars's two moons?,Mars's two moons are Phobos and Deimos.,missing_mars_orbit|direct_gravity_orbits|conflict_solar_planets_distractor|missing_mars_surface|comp_inner_mars|missing_mars_planet,,,,,,0.04501084449471835,0.06508497401218911,0.03310619779823585,0.02764561607496672,0.04694306974035336,0.011736337882723435,0,0,0,,0,,,I cannot answer this question because no context was provided.,I cannot answer this question because no context was provided.,The context is insufficient to answer the question.,0.0,0.0,0.0,0.0,0.0,0.0,missing_evidence,0,0,0,,0,,,,,-0.012706484447934374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
