setting,target,relation_type,total_labelled_pairs,evaluable_pairs,skipped_pairs,coverage,correct_signs,sign_recovery,run_dir
BGE-base + lexical,Gold/reference answer,complementary,20,17,3,0.85,12,0.7058823529411765,demos/rag_retrieval_explanation/evals/results/controlled/bge_lexical
BGE-base + lexical,Gold/reference answer,redundant,22,18,4,0.8181818181818182,18,1.0,demos/rag_retrieval_explanation/evals/results/controlled/bge_lexical
BGE-base + lexical,Gold/reference answer,conflicting,18,18,0,1.0,18,1.0,demos/rag_retrieval_explanation/evals/results/controlled/bge_lexical
BGE-base + lexical,Gold/reference answer,overall,60,53,7,0.8833333333333333,48,0.9056603773584906,demos/rag_retrieval_explanation/evals/results/controlled/bge_lexical
BGE-base + target LL,Gold/reference answer,complementary,20,17,3,0.85,9,0.5294117647058824,demos/rag_retrieval_explanation/evals/results/controlled/bge_target_likelihood
BGE-base + target LL,Gold/reference answer,redundant,22,18,4,0.8181818181818182,17,0.9444444444444444,demos/rag_retrieval_explanation/evals/results/controlled/bge_target_likelihood
BGE-base + target LL,Gold/reference answer,conflicting,18,18,0,1.0,13,0.7222222222222222,demos/rag_retrieval_explanation/evals/results/controlled/bge_target_likelihood
BGE-base + target LL,Gold/reference answer,overall,60,53,7,0.8833333333333333,39,0.7358490566037735,demos/rag_retrieval_explanation/evals/results/controlled/bge_target_likelihood
BGE-base + target LL,Generated answer,complementary,20,17,3,0.85,10,0.5882352941176471,demos/rag_retrieval_explanation/evals/results/controlled/bge_target_likelihood
BGE-base + target LL,Generated answer,redundant,22,18,4,0.8181818181818182,8,0.4444444444444444,demos/rag_retrieval_explanation/evals/results/controlled/bge_target_likelihood
BGE-base + target LL,Generated answer,conflicting,18,18,0,1.0,7,0.3888888888888889,demos/rag_retrieval_explanation/evals/results/controlled/bge_target_likelihood
BGE-base + target LL,Generated answer,overall,60,53,7,0.8833333333333333,25,0.4716981132075472,demos/rag_retrieval_explanation/evals/results/controlled/bge_target_likelihood
BGE-base + contrastive LL,Gold/reference answer,complementary,20,17,3,0.85,8,0.47058823529411764,demos/rag_retrieval_explanation/evals/results/controlled/bge_contrastive_likelihood
BGE-base + contrastive LL,Gold/reference answer,redundant,22,18,4,0.8181818181818182,17,0.9444444444444444,demos/rag_retrieval_explanation/evals/results/controlled/bge_contrastive_likelihood
BGE-base + contrastive LL,Gold/reference answer,conflicting,18,18,0,1.0,12,0.6666666666666666,demos/rag_retrieval_explanation/evals/results/controlled/bge_contrastive_likelihood
BGE-base + contrastive LL,Gold/reference answer,overall,60,53,7,0.8833333333333333,37,0.6981132075471698,demos/rag_retrieval_explanation/evals/results/controlled/bge_contrastive_likelihood
BGE-base + contrastive LL,Generated answer,complementary,20,17,3,0.85,9,0.5294117647058824,demos/rag_retrieval_explanation/evals/results/controlled/bge_contrastive_likelihood
BGE-base + contrastive LL,Generated answer,redundant,22,18,4,0.8181818181818182,9,0.5,demos/rag_retrieval_explanation/evals/results/controlled/bge_contrastive_likelihood
BGE-base + contrastive LL,Generated answer,conflicting,18,18,0,1.0,6,0.3333333333333333,demos/rag_retrieval_explanation/evals/results/controlled/bge_contrastive_likelihood
BGE-base + contrastive LL,Generated answer,overall,60,53,7,0.8833333333333333,24,0.4528301886792453,demos/rag_retrieval_explanation/evals/results/controlled/bge_contrastive_likelihood
TF-IDF + contrastive LL,Gold/reference answer,complementary,20,14,6,0.7,6,0.42857142857142855,demos/rag_retrieval_explanation/evals/results/controlled/tfidf_contrastive_likelihood
TF-IDF + contrastive LL,Gold/reference answer,redundant,22,12,10,0.5454545454545454,11,0.9166666666666666,demos/rag_retrieval_explanation/evals/results/controlled/tfidf_contrastive_likelihood
TF-IDF + contrastive LL,Gold/reference answer,conflicting,18,15,3,0.8333333333333334,10,0.6666666666666666,demos/rag_retrieval_explanation/evals/results/controlled/tfidf_contrastive_likelihood
TF-IDF + contrastive LL,Gold/reference answer,overall,60,41,19,0.6833333333333333,27,0.6585365853658537,demos/rag_retrieval_explanation/evals/results/controlled/tfidf_contrastive_likelihood
TF-IDF + contrastive LL,Generated answer,complementary,20,14,6,0.7,7,0.5,demos/rag_retrieval_explanation/evals/results/controlled/tfidf_contrastive_likelihood
TF-IDF + contrastive LL,Generated answer,redundant,22,12,10,0.5454545454545454,7,0.5833333333333334,demos/rag_retrieval_explanation/evals/results/controlled/tfidf_contrastive_likelihood
TF-IDF + contrastive LL,Generated answer,conflicting,18,15,3,0.8333333333333334,6,0.4,demos/rag_retrieval_explanation/evals/results/controlled/tfidf_contrastive_likelihood
TF-IDF + contrastive LL,Generated answer,overall,60,41,19,0.6833333333333333,20,0.4878048780487805,demos/rag_retrieval_explanation/evals/results/controlled/tfidf_contrastive_likelihood
