case_id,category,expected_tool,actual_selected_tool,selection_correct,most_supportive_span,supportive_value,most_opposing_span,opposing_value,strongest_positive_pair,positive_interaction_value,strongest_negative_pair,negative_interaction_value,number_of_players,runtime_seconds,status,error_message
w01,weather,weather_tool,weather_tool,True,in Oslo,0.3188873489697774,be,-0.6289385994275414,What will + be,0.8929625550905862,in Oslo + on Friday evening?,-0.41092230876286817,5,19.532364083977882,completed,
w03,weather,weather_tool,weather_tool,True,hourly wind forecast,0.44309066534042363,the,-0.6701457619667053,Give me + the,1.2702393531799316,hourly wind forecast + for Wellington,-0.8592766920725504,5,19.195864374982193,completed,
w04,weather,weather_tool,weather_tool,True,in Nairobi,0.583712613582611,I need,-0.7949793179829916,I need + an umbrella,1.5511495073636374,Do + in Nairobi,-0.42350965738296503,5,19.16956675000256,completed,
w07,weather,weather_tool,weather_tool,True,for Denver,0.8587716479150082,"before my field trip,",-0.313641653836719,you tell + me whether,0.7823619839690986,storms are forecast + for Denver,-1.109162743034815,9,260.7731888749986,completed,
w10,weather,weather_tool,weather_tool,True,the live wind chill reading,1.6497474920182,"a concept,",-0.952353118714832,"I know + a concept,",1.5348103841145837,the live wind chill reading + in Chicago?,-1.4943870067596436,7,67.25214674999006,completed,
c01,calculator,calculator_tool,calculator_tool,True,What is 764 divided,1.1292035579681396,by 16?,-0.5520155429840088,What is 764 divided + by 16?,1.1042776107788086,,,2,5.157642750011291,completed,
c05,calculator,calculator_tool,calculator_tool,True,by 8.5 cm; compute,0.9847195744514468,is,-0.5525370041529336,A rectangle + its area.,0.7442282835642497,13.2 cm + by 8.5 cm; compute,-0.4093370040257768,5,19.404612041951623,completed,
c06,calculator,calculator_tool,calculator_tool,True,- 36) / 9 + 7.,0.28877997398376465,,,,,Evaluate (144 + - 36) / 9 + 7.,-0.5766029357910156,2,5.655887291999534,completed,
c07,calculator,calculator_tool,calculator_tool,True,of 500 increased,0.3776737848917644,I'm learning,-0.16985597213109335,I'm learning + about compound growth; calculate,1.5532333850860593,I'm learning + by 4% twice.,-0.6104710499445597,5,19.721194582991302,completed,
c08,calculator,calculator_tool,calculator_tool,True,"of 12, 17, 23, and 28.",0.6100404461224874,Explain the idea,-1.4528058966000876,"Explain the idea + of an average briefly, then compute",0.9246197938919065,"Explain the idea + of 12, 17, 23, and 28.",-1.3314470052719116,4,18.548297874978743,completed,
s03,web_search,web_search_tool,web_search_tool,True,What major news was announced by,0.32288048934424296,the European Central Bank,-0.2633602592395618,the European Central Bank + today?,0.5761819298495539,What major news was announced by + today?,-0.02317905268864706,3,7.32210391695844,completed,
s04,web_search,web_search_tool,web_search_tool,True,Look up the present opening hours,0.3269193433225155,of the Louvre.,-0.10069655627012253,Look up the present opening hours + of the Louvre.,0.23643280565738678,,,2,4.988979540998116,completed,
s07,web_search,web_search_tool,web_search_tool,True,Tesla's latest reported delivery figures.,0.7792310679409031,electric cars; explain,-1.225807808844062,electric cars; explain + the context briefly and find,1.4910974691156298,I'm studying + the context briefly and find,-0.9175952586811036,4,14.270214917021804,completed,
s08,web_search,web_search_tool,web_search_tool,True,the Federal Reserve's current target range.,0.7407565054794153,"an interest rate is, then check",-1.3248114927361407,"an interest rate is, then check + the Federal Reserve's current target range.",0.8041843790560961,Describe what + the Federal Reserve's current target range.,-0.6736424248665571,3,14.111205000022892,completed,
s09,web_search,web_search_tool,no_tool,False,the newest Ubuntu release still supports,2.4429993455608683,"Without doing any arithmetic, tell",-0.4207517777880032,"Without doing any arithmetic, tell + me whether",0.9154218534628549,the newest Ubuntu release still supports + the same default desktop environment.,-0.364988004167875,4,15.462738958012778,completed,
n01,no_tool,no_tool,no_tool,True,leaves change,1.5837639272212982,,,color + in autumn?,0.32928295930226636,leaves change + in autumn?,-0.8521409432093301,4,17.09278375003487,completed,
n03,no_tool,no_tool,no_tool,True,How does binary search work?,1.3470673933625221,,,,,,,1,16.78196383296745,completed,
n04,no_tool,no_tool,no_tool,True,Give three practical tips,3.056827971711755,,,Give three practical tips + for writing clearer paragraphs.,0.13281335309147835,,,2,11.689122708979994,completed,
n08,no_tool,no_tool,no_tool,True,between correlation and causation; do not check,1.3746160924434663,any forecast.,-0.06880965729554489,Using rain + between correlation and causation; do not check,1.3964694937070212,Using rain + any forecast.,-0.3785558541615801,5,25.251219958008733,completed,
n10,no_tool,no_tool,no_tool,True,how search engines rank web pages;,2.280699705084165,live search results.,-0.07723388075828563,"In simple language, explain + live search results.",0.4895714819431305,"In simple language, explain + I don't need",-0.1358107924461367,4,32.85451191698667,completed,
